Cell line;Test;Transfection Type;ECAD;ABC;BCAT;ERCC2;XRCC1;REST;KLF4
SW480;1;Mimic;0,937797055;0,967166235;1,224066653;0,496791874;0,637678496;0,813105025;0,93779705
SW480;1;Mimic;0,520087913;0,599480435;0,808271846;0,347636031;0,386769576;0,377298661;0,52008791
SW480;1;Mimic;0,885284263;0,427366417;1,467092155;0,918397933;1,740582797;0,346959576;0,88528426
SW480;0;Mimic;1,675482198;1,829383249;0,971940781;0,47287452;0,886749006;0,988084546;1,6754822
SW480;0;Mimic;0,635388408;0,693083371;0,899165665;0,36109773;0,64232133;0,693165329;0,63538841
SW480;0;Mimic;0,689129394;0,47753338;1,128893554;2,16602775;1,470929663;1,318750125;0,68912939
SW620;1;Mimic;0,872871579;1,348559841;0,672319069;0,740117221;0,745450123;1,104364156;0,87287158
SW620;1;Mimic;0,336734706;1,458543992;0,602251264;0,806850635;0,588631473;4,31820681;0,33673471
SW620;1;Mimic;1,116499895;1,625629779;0,786654106;1,164520159;1,080931095;1,045365898;1,11649989
SW620;0;Mimic;0,922388197;1,13795403;0,905906697;0,836911538;0,894830841;0,894735236;0,9223882
SW620;0;Mimic;1,019268529;1,16466593;0,729766003;0,89171898;0,873052023;1,022763465;1,01926853
SW620;0;Mimic;1,058343273;0,69738004;1,3643273;1,271369482;1,232117136;1,082501299;1,05834327
SW480;1;Inhibitor;0,533981416;0,954094693;0,677971408;0,647053458;0,689313258;1,267541345;0,53398142
SW480;1;Inhibitor;0,600017647;0,383553653;1,29183401;1,783609393;1,333088927;1,032973361;0,60001765
SW480;1;Inhibitor;2,49658031;1,555791878;1,913050553;1,763365828;2,604893064;1,104681325;2,49658031
SW480;0;Inhibitor;0,758851781;1,313716484;1,103031947;0,830133521;0,783061661;1,633587;0,75885178
SW480;0;Inhibitor;0,148433878;0,228135266;0,79816601;1,070382506;0,562678035;0,576567309;0,14843388
SW480;0;Inhibitor;2,092714341;1,45814825;1,098802044;1,099483973;1,654260304;0,789845691;2,09271434
SW620;1;Inhibitor;0,332928149;0,931855812;1,074320637;0,87773105;0,763252649;0,679597166;0,33292815
SW620;1;Inhibitor;0,985342962;0,80473499;0,96654505;1,342282196;0,893072721;1,330106359;0,98534296
SW620;1;Inhibitor;2,948980008;1,505961944;1,321011138;1,342282196;1,730532855;1,641154916;2,94898001
SW620;0;Inhibitor;0,466820362;1,202201313;0,612669346;0,636704043;0,42093105;0,677979232;0,46682036
SW620;0;Inhibitor;1,179853964;0,710844091;1,179667571;1,360799809;1,141530941;1,409605783;1,17985396
SW620;0;Inhibitor;1,353325673;1,086954596;1,207663084;1,002496148;1,437538009;0,912414985;1,35332567